107,Kyle Korver\korveky01,SG,36,CLE,14,352,14.9,.693,.790,.120,1.4,11.4,6.4,5.9,1.2,0.8,8.7,15.4,,0.8,0.2,1.0,.142,,2.5,-0.4,2.2,0.4
108,Shane Larkin\larkish01,PG,25,BOS,11,154,10.0,.551,.371,.143,0.7,7.5,4.1,19.6,1.7,0.0,13.9,12.9,,0.1,0.1,0.3,.090,,-1.4,-0.9,-2.3,0.0
109,Joffrey Lauvergne\lauvejo01,C,26,SAS,1,6,16.5,1.000,.000,.000,0.0,20.2,9.4,0.0,0.0,0.0,0.0,7.6,,0.0,0.0,0.0,.154,,-2.5,-1.7,-4.2,0.0
110,Ty Lawson\lawsoty01,PG,30,WAS,5,96,12.1,.506,.308,.231,2.5,13.6,8.1,21.3,1.5,0.0,9.5,14.5,,0.1,0.0,0.2,.076,,-1.5,1.0,-0.5,0.0
111,Jake Layman\laymaja01,SF,23,POR,1,8,50.9,1.000,.000,.000,0.0,15.1,6.9,25.8,12.2,0.0,0.0,16.0,,0.1,0.0,0.1,.533,,13.4,8.8,22.2,0.0
112,T.J. Leaf\leaftj01,PF,20,IND,1,4,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.019,,-4.1,1.5,-2.5,0.0
113,Meyers Leonard\leoname01,C,25,POR,2,8,48.4,1.000,.000,.000,0.0,60.4,27.7,0.0,0.0,0.0,0.0,21.3,,0.1,0.0,0.1,.348,,3.3,-7.7,-4.4,0.0
114,DeAndre Liggins\liggide01,SG,29,NOP,3,14,-7.7,.266,.000,2.000,0.0,7.2,3.7,0.0,0.0,0.0,51.5,11.8,,-0.1,0.0,-0.1,-0.236,,-13.5,-0.4,-13.8,0.0
115,Damian Lillard\lillada01,PG,27,POR,4,162,9.4,.471,.423,.239,1.9,11.2,6.1,16.6,1.5,0.0,16.9,24.9,,-0.2,0.0,-0.2,-0.062,,-4.2,-0.4,-4.6,-0.1
116,Shaun Livingston\livinsh01,PG,32,GSW,13,225,12.6,.533,.013,.266,3.9,10.3,7.2,14.6,0.9,0.4,10.2,19.1,,0.2,0.3,0.5,.104,,-1.2,-1.1,-2.3,0.0
117,Kevon Looney\looneke01,C,21,GSW,13,265,11.9,.570,.043,.326,10.0,15.0,12.6,6.8,1.8,2.2,13.2,10.0,,0.4,0.5,0.8,.150,,0.4,2.7,3.0,0.3
